OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036BN,2025-02-17T09:35:18.106368,15.10212423,0.0072092,74.0419,45.7104,166.5333,193.7807,0,U,33821,999,86466,0.0015661,0.00027292,0.0
COSMOS 2251 DEB,1993-036BP,2025-02-16T23:10:29.866080,14.10862636,0.0156272,74.0753,0.1684,122.8088,304.8325,0,U,33822,999,81837,0.0020267,4.051e-05,0.0
COSMOS 2251 DEB,1993-036BQ,2025-02-17T12:03:22.859424,13.98031697,0.0210699,73.8118,311.5857,128.5674,43.4641,0,U,33823,999,81447,0.0012839,2.18e-05,0.0
COSMOS 2251 DEB,1993-036BS,2025-02-16T22:47:54.214656,14.64157205,0.0090665,73.985,246.4875,285.7462,200.1879,0,U,33825,999,84497,0.0019153,0.00010679,0.0
COSMOS 2251 DEB,1993-036BT,2025-02-16T21:55:26.666976,14.46172369,0.0093178,74.0627,249.2061,12.6277,108.6402,0,U,33826,999,83441,0.0021953,8.264e-05,0.0
COSMOS 2251 DEB,1993-036BV,2025-02-16T14:48:20.259360,14.43036368,0.0030915,74.0458,73.7714,227.0706,273.7391,0,U,33828,999,83996,0.00078135,2.608e-05,0.0
COSMOS 2251 DEB,1993-036BX,2025-02-16T20:39:53.882784,14.72030755,0.0049792,74.0332,94.1591,293.3767,240.4042,0,U,33830,999,85066,0.0014128,9.028e-05,0.0
COSMOS 2251 DEB,1993-036BZ,2025-02-17T11:59:55.288608,14.55728538,0.0025448,74.0555,56.8874,175.1978,341.7033,0,U,33832,999,84092,0.0029306,0.00012872,0.0
COSMOS 2251 DEB,1993-036CB,2025-02-17T12:40:02.344224,15.273555,0.0018673,74.0512,255.5515,47.2194,313.0574,0,U,33834,999,85835,0.0047902,0.00131238,0.0
COSMOS 2251 DEB,1993-036CC,2025-02-16T19:01:50.181024,14.58660631,0.0058242,74.0599,311.2904,83.7422,333.4069,0,U,33835,999,84425,0.0017354,8.261e-05,0.0
COSMOS 2251 DEB,1993-036CD,2025-02-17T04:53:11.700096,14.72688445,0.0027174,73.9995,124.9256,42.8485,348.411,0,U,33836,999,84939,0.0020308,0.0001302,0.0
COSMOS 2251 DEB,1993-036CE,2025-02-16T14:39:43.068096,14.49780175,0.0035552,74.0103,258.3764,193.8157,166.2034,0,U,33837,999,84509,0.00044171,1.688e-05,0.0
COSMOS 2251 DEB,1993-036CF,2025-02-16T21:20:53.688192,14.47129107,0.0028124,74.0413,348.9475,188.2405,228.2745,0,U,33838,999,84244,0.00091681,3.334e-05,0.0
COSMOS 2251 DEB,1993-036CG,2025-02-17T11:03:10.662912,14.63189909,0.0087825,74.0394,59.0777,248.6877,262.6229,0,U,33839,999,85229,0.00058821,3.169e-05,0.0
COSMOS 2251 DEB,1993-036CJ,2025-02-17T04:54:13.182336,14.37295512,0.0022448,74.0367,107.4654,265.886,150.7044,0,U,33841,999,83872,0.00038406,1.122e-05,0.0
COSMOS 2251 DEB,1993-036CK,2025-02-16T17:23:00.175776,14.41791735,0.004928,74.0326,54.2898,237.5691,122.0694,0,U,33842,999,84026,0.00057941,1.894e-05,0.0
COSMOS 2251 DEB,1993-036CM,2025-02-17T14:20:43.997280,14.32783099,0.0049085,74.0642,236.6969,334.0572,88.0902,0,U,33844,999,83497,0.00071404,1.946e-05,0.0
COSMOS 2251 DEB,1993-036CR,2025-02-16T16:06:09.204768,14.41359612,0.0045874,74.0326,192.9177,326.0684,45.0894,0,U,33848,999,83518,0.002011,6.573e-05,0.0
COSMOS 2251 DEB,1993-036CT,2025-02-17T09:48:41.430240,15.08786701,0.003281,73.9938,105.7091,320.3617,39.5175,0,U,33890,999,85014,0.0062284,0.0010048,0.0
COSMOS 2251 DEB,1993-036CV,2025-02-16T16:47:06.426816,14.2206682,0.0115006,73.8033,287.0434,10.9875,44.7117,0,U,33892,999,82702,0.0012547,2.944e-05,0.0
COSMOS 2251 DEB,1993-036CX,2025-02-17T13:29:21.417216,13.19770562,0.0573598,73.7643,89.8931,51.0736,314.006,0,U,33894,999,76772,0.0017827,1.675e-05,0.0
COSMOS 2251 DEB,1993-036CZ,2025-02-16T20:19:25.020768,14.17713838,0.0130301,73.7713,338.7639,205.0725,211.9437,0,U,33896,999,82502,0.001248,2.737e-05,0.0
COSMOS 2251 DEB,1993-036DC,2025-02-16T03:44:34.250208,14.57918372,0.0060332,74.0544,296.4344,77.2932,48.959,0,U,33899,999,84468,0.0015409,7.224e-05,0.0
COSMOS 2251 DEB,1993-036DD,2025-02-16T21:15:50.810400,14.56528625,0.0049045,74.019,208.4612,72.6847,49.0422,0,U,33900,999,84682,0.0011053,4.974e-05,0.0
COSMOS 2251 DEB,1993-036DE,2025-02-16T17:37:40.958112,14.91893711,0.0061666,73.775,308.8314,137.0946,223.5071,0,U,33901,999,85024,0.003026,0.00031845,0.0
